"ID","Apelido","ClubeID","PosicaoID"
96532,"Adson",282,2
96591,"Renan Lodi",293,2
96804,"Vitor",314,5
96831,"Carlinhos",264,5
96832,"Rodrigo Figueiredo",264,4
96870,"Emerson",303,2
96965,"Léo Lopes",314,1
96966,"Arthur Gomes",277,5
97138,"Dida",284,1
97228,"Santarém",314,5
97315,"Mantuan",264,4
97322,"Gabriel Furtado",275,4
97341,"Rogério Ceni",276,6
97349,"Daniel",282,4
97352,"Pachu",263,5
97443,"Romercio",294,3
97444,"Julio Rusch",294,4
97445,"Matheus Iacovelli",275,5
97448,"Thalisson Kelven",294,3
97449,"Vitor Carvalho",294,4
97452,"Marcos Calazans",266,5
97454,"Edinan",303,5
97502,"Filigrana",294,5
97520,"Shaylon",276,4
97527,"Matheus Alessandro",266,5
97528,"Frazan",266,3
97532,"Jean Pineda",287,5
97535,"Hiago",315,3
97536,"Bryan",315,4
97537,"Busanello",315,2
97538,"Marcio",294,3
97540,"Vinícius Guarapuava",315,3
97543,"Fernando",282,1
97544,"João Moura",282,3
97545,"Pedro",282,4
97546,"Marco Túlio",282,5
97645,"Thiago Couto",276,1
97653,"Murilo",283,3
97680,"Yan",277,4
97708,"Thiago ",314,4
97768,"Reynaldo",303,3
97769,"Yuri",303,5
97771,"Thiaguinho",303,5
97803,"Ibañez",266,3
97856,"Nonoca",283,4
97863,"Jhemerson",287,4
97877,"Patrick Correia",292,5
97878,"Jacy",293,3
97879,"Matheus Anjos",293,4
97880,"Murillo",293,5
97900,"Vitão",275,3
97902,"Rafael",262,3
97903,"Dantas",262,3
98034,"Maílson",292,1
98035,"Caio",292,2
98056,"Luiz Felipe",373,4
98184,"Rodrigo Pelezinho",315,5
98221,"Cedric",287,2
98281,"Fabian",314,3
98282,"Liniker",314,4
98286,"Bolívia",265,3
98315,"Evanderson",373,4
98333,"Gabriel Batista",262,1
98352,"Bruno Guimarães",293,4
98382,"João Victor",373,4
98401,"Patrick Luan",266,5
98402,"Wendel",266,4
98412,"Tiepo",315,1
98418,"Igor",315,3
98419,"Ronei",315,4
98420,"Bruno",315,2
98421,"Japa",315,5
98422,"Mateus Fauth",315,2
