"Rodada","ClubeID","AtletaID","Participou","Pontos","PontosMedia","Preco","PrecoVariacao","FS","PE","A","FT","FD","FF","G","I","PP","RB","FC","GC","CA","CV","SG","DD","DP","GS"
11,282,36790,TRUE,3.9,2.96,10.44,-0.61,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
12,282,36790,FALSE,0,2.96,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,282,36790,FALSE,0,2.96,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,282,36790,TRUE,6.5,3.55,10.93,0.49,1,4,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0
15,282,36790,TRUE,2.8,3.44,10.44,-0.49,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
16,282,36790,TRUE,4.9,3.62,10.71,0.27,1,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0
17,282,36790,TRUE,4.1,3.67,10.85,0.14,2,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
18,282,36790,TRUE,2.4,3.54,10.53,-0.32,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
19,282,36790,FALSE,0,3.54,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,282,36790,FALSE,0,3.54,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,282,36790,FALSE,0,3.54,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,282,36790,FALSE,0,3.54,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,282,36790,TRUE,1.7,3.37,10.02,-0.51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,282,36790,TRUE,1.7,3.23,10.07,0.05,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
25,282,36790,TRUE,3.3,3.24,10.34,0.27,0,3,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
26,282,36790,TRUE,-2.1,2.86,9.36,-0.98,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
27,282,36790,FALSE,0,2.86,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,282,36790,TRUE,-0.8,2.62,9.31,-0.05,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,282,36790,TRUE,8.4,2.98,11.04,1.73,0,1,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
30,282,36790,TRUE,-1.1,2.74,9.4,-1.64,2,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0
31,282,36790,TRUE,6.2,2.93,10.56,1.16,0,1,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0
32,282,36790,TRUE,-3.8,2.58,8.89,-1.67,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
33,282,36790,FALSE,0,2.58,8.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,290,36792,FALSE,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,290,36792,TRUE,1.1,1.1,12.95,-3.05,4,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2,290,36792,TRUE,-0.8,0.15,9.89,-3.06,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3,290,36792,TRUE,3.9,1.4,10.36,0.47,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
4,290,36792,TRUE,4.1,2.08,10.74,0.38,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5,290,36792,FALSE,0,2.08,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,290,36792,FALSE,0,2.08,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,290,36792,FALSE,0,2.08,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
